Kommun,Population,14 days Cumulative Cases per 10k Population,Total Confirmed Cases,Total % of Population With Confirmed Infected,Total Deaths,Deaths per 10k Population,% Vaccinated - Dose 1,% Vaccinated - Dose 2,Vaccinated - Dose 1,Vaccinated - Dose 2,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Change Rate,Case Notification rate per 10k Population Previous Week,Region
Hudiksvall,37605,4.5,3806,10.1%,69,18.3,85.2%,77.7%,25736,23452, 14, 5, 0, 3, 2, 4, 5, 4, 8, 11, 11, 6,0.5,5.9,Gävleborg
Hultsfred,14163,4.2,1259,8.9%,34,24.0,80.2%,70.4%,9049,7944, 15, 9, 4, 1, 0, 0, 1, 1, 7, 3, 6, 0,0.0,6.4,Kalmar
Hylte,10676,18.7,1364,12.8%,4,3.7,77.8%,66.5%,6388,5456, 5, 0, 0, 0, 0, 1, 0, 1, 1, 4, 17, 3,0.2,19.7,Halland
Håbo,21962,8.2,2470,11.2%,27,12.3,84.7%,74.8%,14135,12477, 7, 7, 3, 2, 4, 0, 5, 4, 17, 12, 14, 4,0.3,11.8,Uppsala
Hällefors,6882,2.9,573,8.3%,12,17.4,80.2%,73.4%,4490,4108, 4, 0, 1, 0, 0, 0, 1, 0, 3, 3, 2, 0,0.0,7.3,Örebro
Härjedalen,10045,11.9,948,9.4%,3,3.0,85.7%,75.0%,7229,6320, 2, 0, 0, 0, 0, 0, 2, 0, 0, 3, 12, 0,0.0,14.9,Jämtland
Härnösand,25111,4.0,2087,8.3%,32,12.7,86.9%,74.7%,17455,14994, 15, 4, 1, 1, 0, 1, 1, 16, 14, 11, 10, 0,0.0,8.4,Västernorrland
Härryda,38170,3.4,4719,12.4%,27,7.1,84.9%,67.8%,23959,19139, 7, 6, 7, 18, 11, 11, 18, 7, 9, 7, 12, 1,0.1,5.0,Västra Götaland
Hässleholm,52086,6.7,5522,10.6%,65,12.5,80.0%,71.0%,33176,29441, 16, 10, 5, 2, 1, 3, 20, 27, 4, 43, 30, 5,0.2,14.0,Skåne
Höganäs,27100,6.3,3011,11.1%,21,7.7,85.1%,77.8%,18266,16695, 19, 2, 3, 6, 3, 4, 7, 8, 5, 3, 14, 3,0.2,6.3,Skåne
